Match,Value
All sales and service,General
Leads from last 12 months,Sales
Leads from last 24 months,Sales
Leads from last 3 months,Sales
Leads from last 6 months,Sales
Lease expiring in next 6 months,Sales
Not serviced in last 24 months,Service
"Projected mileage between 100,000 and 150,000",Service
"Projected mileage between 150,000 and 200,000",Service
"Projected mileage between 50,000 and 75,000",Service
"Projected mileage between 75,000 and 100,000",Service
"Projected mileage less than 50,000",Service
"Projected mileage over 200,000",Service
Serviced in last 12-24 months,Service
Serviced in last 12 months,Service
Serviced in last 3 months,Service
Serviced Last Month,Suppression
Sold in last 12 months with no service date,Service
Sold in last 24 months with no service date,Service
Sold in last 3 months,Sales
Sold last month,Suppression
Sold more than 2 years ago,Sales
Sold more than 5 years ago,Sales
